📖 Configuration loaded from config.json
🤖 Initializing Model with layers: [3, 64, 64, 64, 64, 1]
🚀 Start Training Heston Model...
⚙️  Config: Epsilon=0.0 (Should be 0.0 for Baseline)
Epoch  6100 | Total: 0.000171 | PDE: 0.000072 | IC: 0.000079 | Mean W: 1.0000
Epoch  6200 | Total: 0.000163 | PDE: 0.000075 | IC: 0.000073 | Mean W: 1.0000
Epoch  6300 | Total: 0.000155 | PDE: 0.000072 | IC: 0.000066 | Mean W: 1.0000
Epoch  6400 | Total: 0.000157 | PDE: 0.000072 | IC: 0.000069 | Mean W: 1.0000
Epoch  6500 | Total: 0.000151 | PDE: 0.000071 | IC: 0.000063 | Mean W: 1.0000
Epoch  6600 | Total: 0.000153 | PDE: 0.000073 | IC: 0.000066 | Mean W: 1.0000
Epoch  6700 | Total: 0.000146 | PDE: 0.000069 | IC: 0.000063 | Mean W: 1.0000
Epoch  6800 | Total: 0.000138 | PDE: 0.000066 | IC: 0.000059 | Mean W: 1.0000
Epoch  6900 | Total: 0.000135 | PDE: 0.000066 | IC: 0.000056 | Mean W: 1.0000
Epoch  7000 | Total: 0.000134 | PDE: 0.000064 | IC: 0.000057 | Mean W: 1.0000
Epoch  7100 | Total: 0.000123 | PDE: 0.000062 | IC: 0.000049 | Mean W: 1.0000
Epoch  7200 | Total: 0.000126 | PDE: 0.000061 | IC: 0.000053 | Mean W: 1.0000
Epoch  7300 | Total: 0.000120 | PDE: 0.000058 | IC: 0.000051 | Mean W: 1.0000
Epoch  7400 | Total: 0.000123 | PDE: 0.000058 | IC: 0.000053 | Mean W: 1.0000
Epoch  7500 | Total: 0.000124 | PDE: 0.000059 | IC: 0.000054 | Mean W: 1.0000
Epoch  7600 | Total: 0.000117 | PDE: 0.000057 | IC: 0.000047 | Mean W: 1.0000
Epoch  7700 | Total: 0.000115 | PDE: 0.000055 | IC: 0.000049 | Mean W: 1.0000
Epoch  7800 | Total: 0.000112 | PDE: 0.000053 | IC: 0.000049 | Mean W: 1.0000
Epoch  7900 | Total: 0.000114 | PDE: 0.000051 | IC: 0.000049 | Mean W: 1.0000
Epoch  8000 | Total: 0.000106 | PDE: 0.000049 | IC: 0.000048 | Mean W: 1.0000
Epoch  8100 | Total: 0.000104 | PDE: 0.000049 | IC: 0.000044 | Mean W: 1.0000
Epoch  8200 | Total: 0.000106 | PDE: 0.000047 | IC: 0.000048 | Mean W: 1.0000
Epoch  8300 | Total: 0.000101 | PDE: 0.000043 | IC: 0.000048 | Mean W: 1.0000
Epoch  8400 | Total: 0.000095 | PDE: 0.000042 | IC: 0.000045 | Mean W: 1.0000
Epoch  8500 | Total: 0.000101 | PDE: 0.000041 | IC: 0.000047 | Mean W: 1.0000
Epoch  8600 | Total: 0.000087 | PDE: 0.000038 | IC: 0.000041 | Mean W: 1.0000
Epoch  8700 | Total: 0.000085 | PDE: 0.000037 | IC: 0.000041 | Mean W: 1.0000
Epoch  8800 | Total: 0.000099 | PDE: 0.000037 | IC: 0.000047 | Mean W: 1.0000
Epoch  8900 | Total: 0.000086 | PDE: 0.000033 | IC: 0.000045 | Mean W: 1.0000
Epoch  9000 | Total: 0.000088 | PDE: 0.000034 | IC: 0.000043 | Mean W: 1.0000
Epoch  9100 | Total: 0.000079 | PDE: 0.000032 | IC: 0.000039 | Mean W: 1.0000
Epoch  9200 | Total: 0.000073 | PDE: 0.000030 | IC: 0.000037 | Mean W: 1.0000
Epoch  9300 | Total: 0.000078 | PDE: 0.000031 | IC: 0.000042 | Mean W: 1.0000
Epoch  9400 | Total: 0.000073 | PDE: 0.000029 | IC: 0.000037 | Mean W: 1.0000
Epoch  9500 | Total: 0.000072 | PDE: 0.000027 | IC: 0.000039 | Mean W: 1.0000
Epoch  9600 | Total: 0.000074 | PDE: 0.000025 | IC: 0.000042 | Mean W: 1.0000
Epoch  9700 | Total: 0.000068 | PDE: 0.000025 | IC: 0.000039 | Mean W: 1.0000
Epoch  9800 | Total: 0.000068 | PDE: 0.000023 | IC: 0.000041 | Mean W: 1.0000
Epoch  9900 | Total: 0.000062 | PDE: 0.000021 | IC: 0.000037 | Mean W: 1.0000
Epoch 10000 | Total: 0.000062 | PDE: 0.000021 | IC: 0.000037 | Mean W: 1.0000
Epoch 10100 | Total: 0.000061 | PDE: 0.000021 | IC: 0.000036 | Mean W: 1.0000
Epoch 10200 | Total: 0.000070 | PDE: 0.000019 | IC: 0.000043 | Mean W: 1.0000
Epoch 10300 | Total: 0.000058 | PDE: 0.000018 | IC: 0.000036 | Mean W: 1.0000
Epoch 10400 | Total: 0.000056 | PDE: 0.000018 | IC: 0.000035 | Mean W: 1.0000
Epoch 10500 | Total: 0.000059 | PDE: 0.000017 | IC: 0.000038 | Mean W: 1.0000
Epoch 10600 | Total: 0.000060 | PDE: 0.000017 | IC: 0.000039 | Mean W: 1.0000
Epoch 10700 | Total: 0.000064 | PDE: 0.000016 | IC: 0.000041 | Mean W: 1.0000
Epoch 10800 | Total: 0.000054 | PDE: 0.000016 | IC: 0.000035 | Mean W: 1.0000
Epoch 10900 | Total: 0.000053 | PDE: 0.000015 | IC: 0.000035 | Mean W: 1.0000
Epoch 11000 | Total: 0.000063 | PDE: 0.000015 | IC: 0.000041 | Mean W: 1.0000
Epoch 11100 | Total: 0.000054 | PDE: 0.000014 | IC: 0.000037 | Mean W: 1.0000
Epoch 11200 | Total: 0.000065 | PDE: 0.000016 | IC: 0.000040 | Mean W: 1.0000
Epoch 11300 | Total: 0.000050 | PDE: 0.000013 | IC: 0.000034 | Mean W: 1.0000
Epoch 11400 | Total: 0.000053 | PDE: 0.000014 | IC: 0.000037 | Mean W: 1.0000
Epoch 11500 | Total: 0.000053 | PDE: 0.000013 | IC: 0.000031 | Mean W: 1.0000
Epoch 11600 | Total: 0.000047 | PDE: 0.000013 | IC: 0.000032 | Mean W: 1.0000
Epoch 11700 | Total: 0.000050 | PDE: 0.000013 | IC: 0.000035 | Mean W: 1.0000
Epoch 11800 | Total: 0.000047 | PDE: 0.000012 | IC: 0.000033 | Mean W: 1.0000
Epoch 11900 | Total: 0.000045 | PDE: 0.000013 | IC: 0.000030 | Mean W: 1.0000
Epoch 12000 | Total: 0.000049 | PDE: 0.000013 | IC: 0.000034 | Mean W: 1.0000
Epoch 12100 | Total: 0.000051 | PDE: 0.000013 | IC: 0.000035 | Mean W: 1.0000
Epoch 12200 | Total: 0.000051 | PDE: 0.000012 | IC: 0.000032 | Mean W: 1.0000
Epoch 12300 | Total: 0.000047 | PDE: 0.000012 | IC: 0.000032 | Mean W: 1.0000
Epoch 12400 | Total: 0.000049 | PDE: 0.000013 | IC: 0.000034 | Mean W: 1.0000
